skill,freq
adobe illustrator,6
android sdk,6
sla,6
rabbitmq,6
работа с требованиями,6
бережливое производство,6
холодные звонки,6
sap co,6
ms movie maker,6
сертификация,6
ecm,6
power query,6
написание тз,6
копирайтинг,6
оперативный поиск информации в сети интернет,6
power bi,6
ui/ux,6
знание иностранных языков,6
togaf,6
appsflyer,6
er-диаграммы,6
написание тз,6
1с,6
скоринговая карта,6
формализация требований,6
historian,6
pims,6
emi,6
case–системы,6
hmi,6
firewall,6
работа с тмц,6
теория вероятности,6
ms navision,6
анализ бизнес процессов,6
регресионное тестирование,6
маркетинг услуг,6
микросервисы,6
splunk,6
сводные таблицы,6
gis,6
геодезия и картография,6
контроль отгрузок,6
террасофт,6
bpm'online,6
разработка технической документации,6
фондовый рынок,6
bizagi,6
анализ поведения пользователей,6
o365,6
планирование ассортимента,6
hibernate orm,6
написание сценариев,6
itam,6
контроль дебиторской задолженности,6
настойчивость в достижении результата,6
анализ абс,6
управление складом,6
oss,6
gamedev,6
сбыт,6
системная аналитика,6
google api,6
"dwh, data lake,",6
инфографика,6
1с: логистика,6
sql запросы,6
microsoft power bi,6
эдо,6
развитие бренда,6
sequence diagrams,6
business communication,5
операционный менеджмент,5
организационная структура,5
администрирование сетевого оборудования,5
ruby,5
p&l,5
анализ pr стратегии конкурентов,5
проведение тендеров,5
language m,5
power bi,5
way4,5
абс цфт,5
1с:ка,5
вэд,5
взаимодействие с разрешительными органами,5
storehouse,5
фитнес,5
формирование технического задания для разработки,5
согласование договоров,5
банковское по,5
постановка тз,5
проверка гипотез,5
account management,5
ownсloud,5
gds,5
bpmn 2.0,5
банковская сфера,5
ведение переписки,5
development,5
гис,5
разработка технической документации,5
mvc,5
automation,5
внутренняя документация,5
draw.io,5
удаленка,5
ssis,5
dfd,5
"гост 19, 34",5
english,5
микросервисная архитектура,5
1c: erp,5
seo оптимизация,5
анализ ценообразования,5
микросервисы,5
er-моделирование,5
sketchup,5
оформление заказов,5
управление изменениями,5
rest api,5
adobe acrobat,5
босс-кадровик,5
e-staff,5
testing,5
analytics,5
офисная техника,5
распределительная логистика,5
мис,5
hr,5
dashboard,5
redash,5
a/b tests,5
anaplan,5
стратегический менеджмент,5
литературное редактирование,5
редактирование,5
управление бюджетом,5
kotlin,5
гипотезы и эксперименты,5
архитектор,5
управление ассортиментом,5
quality control,5
ms power point,5
sql/nosql,5
медицинская документация,5
кредитные продукты,5
малый и средний бизнес,5
product owner,5
bigdata,5
groovy,5
customer relationship management,5
претенциозная работа,5
дебиторская задолженность,5
1с: управление нашей фирмой,5
olap кубы,5
olap-кубы,5
гарант,5
web-дизайн,5
внимательность,5
primefaces,5
qgis,5
sdlc,5
проектирование бизнес-процессов,5
краткосрочное бюджетирование и планирование,5
bim,5
продажа страховых продуктов,5
консультативные продажи,5
быстрая обучаемость,5
консолидация финансовой отчетности,5
power pivot,5
microsoft sharepoint,5
создание сайтов,5
bigquery,5
администрирование серверов,5
1с: управление холдингом,5
hybris commerce,5
обязательная отчётность цб рф,5
аналитика данных,5
cоциальный маркетинг,5
use cases,5
google optimize,5
бумажный документооборот,5
opera,5
enterprise,5
b2c,5
measurement protocol,5
